Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ho_1,ho_2,ho_3,lo_1,lo_2,lo_3
SIG_04g07810,27.7540666278935,-2.1673302924411,0.512386246231049,-4.22987601322887,2.33820147360514e-05,0.027754451491693,44.7408713499222,39.8573878412785,51.6751681330057,13.4499487757664,7.40060373811988,9.40041992926839
SIG_03g03750,321.382512256501,-1.47564025743772,0.351440339154637,-4.1988357426107,2.68290839202982e-05,0.0278653572867197,462.322337282529,393.463956894673,562.789558394007,186.377861607049,109.951826966352,213.389532394392
SIG_13g01370,2283.78860025704,2.40669476376013,0.571961483940024,4.2077916631402,2.5787844855286e-05,0.0278653572867197,334.491276282752,578.44311585035,1260.87410244534,2399.85514584747,5964.88661292462,3164.18134819174
SIG_03g21320,541.55692262495,-1.44677497230604,0.346709555870826,-4.17287308009781,3.00782512455282e-05,0.0294023752469522,981.103393173294,690.861389248828,705.600932143405,238.256235456434,228.36148677627,405.158098951468
SIG_06g13680,37.0844864553351,-2.2253222368857,0.537352542441226,-4.14127050888403,3.45387333298387e-05,0.0318869261375144,40.4798359832629,58.253105306484,84.5593660358275,9.60710626840459,12.6867492653484,16.9207558726831
SIG_01g04400,331.714260517505,-1.18472433866925,0.288623766539025,-4.10473590888109,4.04777022617787e-05,0.035403076641381,349.404900066059,572.311210028615,460.378770639505,182.535019099687,218.846424827259,206.809238443905
SIG_03g22290,431.550459487879,-1.12470877835571,0.276302607970141,-4.0705688108353,4.68984853886637e-05,0.0387310401091316,693.483505923794,458.870952326515,622.920663130596,236.334814202753,267.478963677761,310.213857665857
SIG_12g10290,1452.29810835455,6.88399743688583,1.69530987553172,4.06061306917517,4.8944027096628e-05,0.0387310401091316,20.2399179916315,38.835403537656,14.0932276726379,463.062522137101,8151.23640298632,26.3211758019515
SIG_12g10410,394.435400976474,-1.58375226943851,0.39689196600796,-3.99038631436229,6.5965762584177e-05,0.0498281383010843,834.09767302355,434.343329039574,506.416647703456,176.770755338644,148.012074762398,266.971925991222
SIG_13g00440,39.449324091874,-1.870829749602,0.472765423879449,-3.95720510660493,7.58318152464093e-05,0.0547901350332535,79.8944131248611,45.9892936630137,60.1311047365884,18.2535019099687,12.6867492653484,19.7408818514636
SIG_05g10000,1014.55038214261,-2.53470119180346,0.645401653769136,-3.92732367046295,8.58963518098161e-05,0.0570970229750209,1666.06482836377,651.00400140755,2874.07889670663,157.556542801835,523.32840719562,215.269616380246
SIG_10g15170,425.344972042224,-1.68091300160915,0.427044233238386,-3.93615665726793,8.27969355669893e-05,0.0570970229750209,426.103536665926,806.345615558174,713.117320235478,239.216946083274,116.295201599027,250.991212111466
SIG_01g08280,353.493255330647,-0.754522602291812,0.197825721100338,-3.81407735098872,0.000136692653080859,0.0738320883105661,450.604490024216,415.947611574368,465.076513197051,284.370345544776,255.849443517859,249.111128125612
SIG_02g11070,70.8232637596743,3.56072189844572,0.93151623155872,3.8225011844265,0.000132104843877786,0.0738320883105661,14.9136237833074,5.10992151811263,13.1536791611287,48.0355313420229,310.825357001035,32.9014697524394
SIG_03g07980,173.846810500599,1.53270668450284,0.398324631676142,3.84788326559981,0.000119142796722699,0.0738320883105661,71.3723423915425,117.528194916591,78.9220749667723,216.159891039103,362.629583167874,196.468776521709
SIG_05g06630,638.664035671023,1.13567332143689,0.297948112979345,3.81164797481238,0.000138043377316205,0.0738320883105661,346.209123541065,373.024270822222,479.169740869689,750.314999562398,749.575435760999,1133.69064346977
SIG_06g08890,174.263981690306,-1.88257602739315,0.495318520008554,-3.800738214595,0.000144265652939792,0.0738320883105661,220.508580224617,373.024270822222,229.249836808243,88.3853776693222,33.8313313742623,100.584493243172
SIG_08g05090,117.86270381363,4.53268960999265,1.18160525903017,3.83604386943316,0.000125032083471153,0.0738320883105661,19.1746591499667,10.2198430362253,0,46.114110088342,525.442865406511,106.224745200733
SIG_08g22280,944.64547577814,-0.902417241200231,0.23538324705885,-3.83382102369677,0.000126167956509012,0.0738320883105661,1444.49098929749,1210.02941548907,1038.20110521766,740.707893293994,612.135652053058,622.307799317567
